0,-850,-918,1981
3,142,892,-733
5,-1278,3486,3345
8,-547,1188,1342
11,735,-1589,-2153
14,633,-2115,-1718
17,10,-544,-151
20,-79,8,94
23,-211,861,435
26,-303,697,740
29,-145,-20,332
32,-36,-212,61
35,-49,55,53
38,-72,332,87
41,-84,-18,149
44,-59,-286,102
47,8,-212,-68
50,-46,5,74
53,150,194,-441
56,-38,94,-12
59,-94,-38,234
62,-44,-517,445
65,-159,-990,-331
68,-19,144,48
70,14,312,-183
73,-69,312,-149
76,-50,300,65
79,-60,220,59
82,-29,115,34
85,-59,-81,84
88,-21,-142,3
91,24,-131,-221
94,-31,-97,33
97,-62,-72,102
100,-38,98,32
103,-31,117,-2
